sido_cd,sido_nm,sigun_cd,지역명,sigun_nm,year,yfe,old(65세이상인구),인구 소멸 지수,총전입 (명),총전출 (명),개선 인구 소멸 지수,노인여가복지시설수,노인인구 1000명 당 여가복지시설,문화시설 수,인구 십만명당 문화시설 수,상급종합병원,종합병원,병원,요양병원,의원,치과병원,한방병원,보건소,약국,녹지면적,녹지비율,고위험음주율,주관적_건강수준인지율,흡연율,1인당 자동차등록대수 (대),가구수 (가구),건강생활실천율 (%),대학교 교원수 (명),대학교 수 (개),대학교 재학생수 (명),도소매업 사업체수(등록기반) (개),도소매업 종사자수(등록기반) (명),도시지역면적 (㎡),등록외국인 현황 (명),등록장애인수 (명),미충족의료율 (%),사망자수 (명),사설학원수 (천명당),사업체수(등록기반) (개),상수도보급률 (%),서비스업 사업체수(등록기반) (개),스트레스인지율 (%),신혼부부수 (쌍),운수업 사업체수(등록기반) (개),운수업 종사자수(등록기반) (명),유치원 교원수 (명),유치원 수 (개),유치원 원아수 (명),음주율 (%),의료기관 종사 의사수 (천명당),의료기관병상수 (천명당),이혼건수 (건),인구십만명당 자살률 (십만명당),인구총조사 인구 (명),인플루엔자 예방접종률 (%),제조업 사업체수(등록기반) (개),제조업 종사자수(등록기반) (명),조이혼율 (천명당),조혼인율 (천명당),주관적 건강수준인지율 (%),주민등록인구 (명),주택수 (호),초등학교 교원수 (명),초등학교 수 (개),초등학교 학생수 (명),출생아수 (명),토지거래면적 (천㎡),평균연령 (세),하수도보급률 (%),학급당 학생수 (명),합계출산율,혼인건수 (건),화재발생건수 (건),실업률,고용률
32,강원,32030,강원 강릉시,강릉시,2020,25109,45484,0.55,31595.0,30983.0,1.3,311.0,7.213601466,30,14.1,0,4,3,3,114,1,1,1,88,53746927,63.26,17.1,52.0,20.3,0.5,99109.0,21.8,820,4,26000,6614.0,14069.0,84958650,2282,13503,8.3,1709,2.0,27992,95.1,19791.0,30.5,4342.0,2172,4934.0,165.0,37,1708.0,59.6,3.5,12.5,415.0,34.5,216542.0,39.1,1522.0,7593,2.0,3.8,52.0,213321.0,87579,791.0,35,9771.0,950.0,10705,45.3,92.3,20.68,0.945,801.0,213,3.3,58.2
32,강원,32030,강원 강릉시,강릉시,2021,24463,47318,0.52,31820.0,30668.0,1.27,311.0,6.837569255,30,14.1,1,3,1,3,115,1,1,1,91,53746927,63.26,21.3,44.6,23.4,0.5,100340.0,17.0,822,4,24589,6415.0,14199.0,84958650,2357,13546,8.1,1710,2.0,29034,95.5,20279.0,25.4,4187.0,2412,5220.0,158.0,37,1517.0,59.1,3.5,12.4,420.0,26.4,216560.0,44.5,1548.0,7465,2.0,3.8,44.6,212965.0,89259,792.0,35,9526.0,892.0,14917,46.0,92.3,20.49,0.904,799.0,252,1.85,60.2
32,강원,32030,강원 강릉시,강릉시,2022,23514,49575,0.47,25320.0,25598.0,1.22,314.0,6.635952492,30,14.2,1,3,1,2,120,1,1,1,93,53746927,63.26,22.8,40.9,22.8,0.6,98998.0,16.2,805,4,23390,6249.0,14107.0,84958650,2630,13509,9.4,2080,2.1,29280,96.1,20341.0,25.1,3914.0,2409,4899.0,153.0,37,1468.0,64.1,3.6,11.8,405.0,27.4,215128.0,37.0,1600.0,7185,1.9,3.3,40.9,211381.0,89894,797.0,36,9313.0,893.0,11062,46.6,93.3,20.19,0.91,691.0,243,2.0,60.6
32,강원,32030,강원 강릉시,강릉시,2023,22734,51700,0.44,23710.0,24529.0,1.19,316.0,6.374180535,30,14.3,1,3,1,2,121,1,1,1,94,53746927,68.56,22.3,42.1,26.5,0.6,100581.0,21.2,777,4,21361,6407.0,14043.0,78392990,3379,13348,7.4,1975,2.1,30009,96.6,20834.0,26.1,3673.0,2584,4947.0,175.0,37,1479.0,62.2,3.6,11.3,396.0,39.6,213786.0,44.4,1492.0,7208,1.9,3.0,42.1,209439.0,91183,803.0,36,9042.0,826.0,11009,47.2,93.0,19.93,0.846,626.0,225,1.6,61.05
32,강원,32030,강원 강릉시,강릉시,2024,22196,54279,0.41,28150.0,28661.0,1.17,321.0,6.208897485,30,14.4,1,3,1,2,121,1,1,1,94,54030566,68.88,23.6,39.5,22.0,0.6,100918.0,24.3,732,4,20422,6407.0,14043.0,78446450,3835,13199,5.0,1943,2.1,30009,97.4,20834.0,26.2,3495.0,2584,4947.0,173.0,36,1432.0,61.5,3.6,11.0,388.0,26.0,212352.0,38.8,1492.0,7208,1.9,3.6,39.5,207731.0,92596,803.0,36,8496.0,758.0,7717,47.9,93.3,19.62,0.779,748.0,253,1.6,61.0
32,강원,32400,강원 고성군,고성군,2020,2112,7945,0.27,3171.0,3438.0,1.06,111.0,14.49275362,13,48.6,0,0,0,0,7,0,0,1,12,8304854,66.86,14.6,54.4,26.3,0.5,12096.0,36.6,0,0,0,758.0,1291.0,12421767,1112,2254,2.3,329,0.5,4004,90.8,2563.0,15.6,432.0,164,272.0,17.0,11,165.0,55.3,1.0,0.0,60.0,41.1,26572.0,33.5,259.0,1230,2.2,3.7,54.4,26757.0,11910,162.0,13,938.0,98.0,5763,50.0,88.4,10.82,1.02,98.0,73,2.65,65.675
32,강원,32400,강원 고성군,고성군,2021,2043,8236,0.25,4637.0,3807.0,1.09,111.0,13.97105098,14,51.4,0,0,0,0,6,0,0,1,10,8304854,66.86,18.3,50.2,22.4,0.6,12385.0,28.9,0,0,0,807.0,1457.0,12421767,1183,2254,2.1,331,0.4,4365,89.9,2759.0,15.7,441.0,183,292.0,19.0,11,133.0,55.3,1.0,0.0,60.0,55.9,26650.0,39.1,266.0,1170,2.2,3.5,50.2,27249.0,13129,159.0,13,965.0,93.0,6387,50.6,88.8,10.74,0.962,93.0,60,2.0,67.7
32,강원,32400,강원 고성군,고성군,2022,2095,8517,0.25,3269.0,2968.0,1.07,112.0,13.59883439,14,51.3,0,0,0,0,7,0,0,1,10,8304854,66.86,18.5,54.4,21.7,0.6,12757.0,35.5,0,0,0,795.0,1450.0,12421947,1373,2266,2.3,363,0.4,4426,91.2,2813.0,17.1,453.0,171,263.0,17.0,11,158.0,63.0,1.0,0.0,55.0,55.2,27127.0,37.2,262.0,1235,2.0,4.1,54.4,27274.0,13164,170.0,13,1041.0,109.0,8239,50.8,88.9,11.46,1.1,111.0,75,2.025,68.2
32,강원,32400,강원 고성군,고성군,2023,2289,8773,0.26,3262.0,2989.0,1.08,114.0,13.38499472,14,51.3,0,0,0,0,6,0,0,1,10,8304854,69.33,22.8,59.8,21.1,0.6,13384.0,33.6,0,0,0,832.0,1407.0,11979402,1812,2230,2.4,345,0.5,4683,91.3,2911.0,18.2,488.0,186,278.0,16.0,10,134.0,59.3,1.0,0.0,45.0,47.8,27811.0,39.8,248.0,1249,1.7,3.5,59.8,27305.0,13189,170.0,13,1031.0,87.0,4281,50.8,89.1,11.75,0.87,94.0,77,1.8,68.025
32,강원,32400,강원 고성군,고성군,2024,2285,9123,0.25,2888.0,2973.0,1.06,116.0,13.22238687,12,44.4,0,0,0,0,6,0,0,1,10,8321573,66.99,23.5,58.4,23.3,0.6,13447.0,29.2,0,0,0,832.0,1407.0,12421947,1926,2219,3.0,343,0.5,4683,92.2,2911.0,21.0,490.0,186,278.0,17.0,10,104.0,58.7,1.0,0.0,61.0,29.5,27774.0,34.6,248.0,1249,2.3,3.9,58.4,26999.0,13479,170.0,13,955.0,118.0,3647,51.2,89.0,11.5,1.182,105.0,51,2.45,69.525
32,강원,32040,강원 동해시,동해시,2020,7841,18293,0.43,12978.0,12623.0,1.19,124.0,7.151920637,7,7.7,0,1,2,3,49,0,0,1,40,81863718,66.01,23.9,52.6,20.5,0.5,37871.0,19.3,0,0,0,2746.0,5417.0,124014780,899,6750,3.0,702,1.5,11111,99.6,7292.0,22.5,1891.0,897,2959.0,89.0,17,1037.0,61.2,1.8,15.9,213.0,50.1,87801.0,47.9,595.0,3573,2.4,3.6,52.6,90593.0,41116,345.0,14,4913.0,404.0,2287,45.7,98.4,21.24,1.055,327.0,85,2.15,59.05
32,강원,32040,강원 동해시,동해시,2021,7454,19039,0.39,11364.0,11376.0,1.15,128.0,6.997212048,7,7.8,0,1,2,3,52,0,0,1,40,81863718,66.01,20.2,43.2,18.3,0.5,38710.0,17.9,0,0,0,2775.0,5626.0,124014780,728,6771,1.9,680,1.5,11395,99.6,7424.0,24.9,1826.0,951,2773.0,92.0,17,1026.0,57.9,1.9,14.5,187.0,32.3,87264.0,53.8,603.0,3793,2.1,3.8,43.2,90081.0,41536,367.0,14,4844.0,422.0,2726,46.4,98.4,20.72,1.102,339.0,69,1.25,61.0
32,강원,32040,강원 동해시,동해시,2022,7124,19983,0.36,9882.0,9945.0,1.13,133.0,6.985661012,8,8.9,0,1,2,3,52,0,0,1,40,81770077,65.94,18.7,47.7,21.8,0.5,39333.0,20.2,0,0,0,2753.0,5565.0,124014780,835,6754,4.0,856,1.6,11516,99.6,7438.0,20.8,1706.0,967,2735.0,87.0,15,917.0,64.1,1.9,14.6,184.0,30.2,86772.0,47.0,594.0,3905,2.1,3.4,47.7,89426.0,42187,366.0,14,4757.0,374.0,2266,47.1,98.4,20.41,0.987,300.0,55,1.45,60.65
32,강원,32040,강원 동해시,동해시,2023,6775,20861,0.32,8363.0,8729.0,1.1,138.0,6.905869989,9,10.2,0,2,1,3,49,0,0,1,39,81745526,76.99,19.5,48.1,19.1,0.6,39854.0,21.4,0,0,0,2749.0,5350.0,106174140,972,6646,3.6,819,1.6,11666,99.6,7526.0,24.9,1591.0,961,2624.0,87.0,15,817.0,62.2,1.9,14.3,196.0,27.1,86222.0,47.9,591.0,3961,2.2,3.4,48.1,88625.0,41979,358.0,14,4662.0,356.0,1916,47.7,98.4,20.25,0.949,301.0,69,0.65,61.7
32,강원,32040,강원 동해시,동해시,2024,6598,21889,0.3,10548.0,11038.0,1.09,140.0,6.711087676,9,10.3,0,2,1,3,49,0,0,1,39,82071280,77.3,24.1,42.0,18.6,0.6,40174.0,20.8,0,0,0,2749.0,5350.0,106174140,972,6562,3.1,792,1.6,11666,99.5,7526.0,22.3,1533.0,961,2624.0,78.0,15,713.0,66.2,1.9,14.3,198.0,29.6,85673.0,45.6,591.0,3961,2.3,4.0,42.0,87675.0,42995,352.0,14,4378.0,342.0,1007,48.4,98.8,20.14,0.936,348.0,61,1.05,63.3
32,강원,32070,강원 삼척시,삼척시,2020,6696,16572,0.4,7153.0,8870.0,1.14,243.0,15.18370407,9,13.8,0,1,1,1,28,0,0,1,27,56229816,70.39,16.5,56.2,24.5,0.5,31016.0,18.2,197,0,9924,1844.0,3398.0,79882140,696,5488,5.5,633,1.0,8445,91.1,5589.0,26.6,1267.0,408,860.0,66.0,18,720.0,52.7,1.7,6.2,135.0,24.4,65939.0,41.9,414.0,2052,2.1,3.2,56.2,65243.0,30818,288.0,19,2667.0,358.0,9037,47.1,89.4,16.2,1.361,208.0,80,1.4,59.45
32,강원,32070,강원 삼척시,삼척시,2021,6288,16884,0.37,6665.0,7731.0,1.12,245.0,14.78397297,9,14.2,0,1,1,1,27,0,0,1,27,56229797,70.39,19.6,56.2,19.7,0.5,29801.0,22.2,192,0,9612,1939.0,3445.0,79882140,635,5426,5.7,680,1.0,8912,91.1,5826.0,23.2,1118.0,444,914.0,69.0,18,669.0,56.2,1.7,6.5,132.0,29.7,64464.0,46.6,429.0,1964,2.1,2.8,56.2,63429.0,30663,276.0,18,2587.0,287.0,11425,47.9,89.3,16.09,1.187,181.0,70,1.3,60.15
32,강원,32070,강원 삼척시,삼척시,2022,6004,17460,0.34,8170.0,7596.0,1.12,245.0,14.51077944,9,14.2,0,1,1,1,25,0,0,1,26,56226482,70.39,23.9,49.4,22.5,0.5,29950.0,20.6,191,0,9406,1945.0,3537.0,79883700,748,5378,3.8,754,1.1,9150,90.2,5932.0,24.6,1077.0,453,939.0,59.0,17,632.0,63.5,1.7,6.5,103.0,50.6,64289.0,42.7,427.0,1988,1.6,3.0,49.4,63455.0,31568,282.0,18,2471.0,295.0,8856,48.4,89.5,16.08,1.26,190.0,64,0.8,61.25
32,강원,32070,강원 삼척시,삼척시,2023,5787,18014,0.32,5728.0,6120.0,1.09,247.0,14.14662085,9,14.4,0,1,1,1,24,0,0,1,26,56056231,70.87,21.2,45.8,23.4,0.6,30546.0,27.8,188,0,8937,1940.0,3522.0,79101670,851,5330,4.6,674,1.1,9268,90.8,5921.0,24.0,1029.0,459,941.0,61.0,16,591.0,61.0,1.7,6.7,124.0,33.4,63542.0,44.5,407.0,2013,2.0,3.4,45.8,62651.0,31466,266.0,18,2291.0,276.0,6778,49.0,90.5,16.33,1.201,211.0,68,1.0,62.1
32,강원,32070,강원 삼척시,삼척시,2024,5569,18709,0.3,7810.0,8205.0,1.08,248.0,13.76707006,9,14.6,0,1,1,1,24,0,0,1,26,56063014,70.87,20.6,47.1,23.5,0.6,30644.0,28.9,188,0,8670,1940.0,3522.0,79102950,844,5250,6.1,762,0.9,9268,92.0,5921.0,18.1,977.0,459,941.0,60.0,16,563.0,63.6,1.7,6.8,127.0,27.4,62953.0,40.2,407.0,2013,2.0,3.3,47.1,61735.0,32000,269.0,18,2154.0,252.0,6644,49.7,90.4,15.64,1.135,203.0,74,0.65,63.05
32,강원,32060,강원 속초시,속초시,2020,7927,15874,0.5,14860.0,13785.0,1.26,91.0,6.142008639,8,9.7,0,2,0,2,65,1,0,1,42,27311021,64.93,17.0,65.5,21.3,0.5,35922.0,23.9,0,0,0,2958.0,5980.0,42065436,1009,4978,0.3,612,1.4,11158,99.7,8509.0,16.3,1944.0,754,1638.0,51.0,10,540.0,53.6,2.4,10.5,226.0,45.4,80054.0,38.2,488.0,2238,2.8,3.8,65.5,82665.0,37736,281.0,12,3832.0,415.0,1837,45.7,99.5,22.07,1.063,312.0,65,1.1,62.7
32,강원,32060,강원 속초시,속초시,2021,7659,16673,0.46,13586.0,12976.0,1.22,93.0,5.858636765,8,9.7,0,2,0,2,67,1,0,1,42,27311981,64.93,17.9,63.6,21.1,0.5,37069.0,29.9,0,0,0,3018.0,5982.0,42065436,1034,4985,1.1,656,1.4,11658,99.7,8839.0,17.6,1797.0,858,1665.0,41.0,9,491.0,57.2,2.3,10.3,195.0,28.0,80362.0,45.5,472.0,2207,2.4,3.7,63.6,82791.0,39169,293.0,12,3882.0,380.0,1792,46.4,99.5,22.11,0.964,305.0,82,1.65,62.05
32,강원,32060,강원 속초시,속초시,2022,7575,17551,0.43,11850.0,11393.0,1.19,95.0,5.697834823,8,9.7,0,2,0,2,66,1,0,1,41,27373662,65.07,22.4,61.8,21.1,0.5,37920.0,28.6,0,0,0,3028.0,5551.0,42065436,1205,4995,4.6,725,1.4,11736,99.6,8867.0,17.2,1752.0,883,1678.0,44.0,9,430.0,60.0,2.3,10.2,203.0,35.2,80903.0,43.2,464.0,2122,2.5,3.8,61.8,82806.0,39599,299.0,12,3973.0,369.0,948,46.8,99.5,22.18,0.913,309.0,80,1.65,61.9
32,강원,32060,강원 속초시,속초시,2023,7361,18496,0.4,11199.0,11557.0,1.16,96.0,5.469773802,8,9.7,0,2,0,2,65,1,0,1,41,27373662,65.07,25.3,52.9,24.0,0.5,38547.0,32.4,0,0,0,3048.0,5610.0,42065436,1364,4870,3.0,715,1.4,12035,99.6,9143.0,20.8,1680.0,912,1802.0,41.0,8,368.0,64.1,2.3,10.1,220.0,23.1,80497.0,42.2,438.0,2075,2.7,4.1,52.9,82054.0,40757,304.0,12,3875.0,308.0,1808,47.5,99.7,21.79,0.761,333.0,86,1.6,61.9
32,강원,32060,강원 속초시,속초시,2024,7170,19453,0.37,10422.0,11143.0,1.13,98.0,5.298442907,8,9.9,0,2,0,2,65,1,0,1,41,27373662,65.07,21.7,57.0,22.3,0.5,38720.0,31.1,0,0,0,3048.0,5610.0,42065436,1661,4798,3.5,773,1.4,12035,99.7,9143.0,18.7,1622.0,912,1802.0,41.0,8,371.0,65.1,2.4,9.9,191.0,45.6,79758.0,42.6,438.0,2075,2.4,4.4,57.0,80933.0,40833,323.0,12,3635.0,371.0,1006,48.1,99.7,21.25,0.94,353.0,87,1.35,62.7
32,강원,32380,강원 양구군,양구군,2020,2081,4702,0.44,2821.0,3284.0,1.17,91.0,20.25372802,13,58.4,0,0,3,0,5,0,0,1,8,2028728,54.68,22.4,57.7,20.8,0.6,8606.0,26.1,0,0,0,499.0,972.0,3710000,248,1518,7.7,193,0.9,3047,81.1,1691.0,24.2,642.0,88,205.0,17.0,10,156.0,52.5,1.8,7.5,62.0,31.3,21317.0,57.4,159.0,598,2.8,5.0,57.7,22278.0,8275,148.0,10,1029.0,159.0,3352,45.0,86.4,14.54,1.428,113.0,49,2.15,68.35
